Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
SVRP-INTSEP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.12 , 690.5 , 5.68486 , 0.05 , 600.016 , 4 , 720 , 12.12 , 12.12 , 12.12 , 732.12 , 717 , 2.06524 , 47341 , 5485 , 12.3557 , 1418 , 0.116306 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
SVRP-INTSEP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 690.5 , 5.30719 , 0.049 , 600.015 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 719.5 , 1.33022 , 60051 , 4467 , 13.3699 , 1055 , 0.097031 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
SVRP-INTSEP-PARADA_SET-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 696.68 , 4.45974 , 0.063 , 8.132 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 2201 , 873 , 0.691371 , 9 , 0.001315 , 0 , 56 , 0.118798 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-SRI-INTSEP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION-LAG , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 715.84 , 1.83214 , 7.684 , 12.497 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 1141 , 504 , 1.28061 , 2 , 0.000818 , 0 , 0 , 0 , 943 , 2.17961 , 144 , 0.056156 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 690.5 , 5.30719 , 0.049 , 600.007 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 724 , 0.71311 , 52401 , 4365 , 14.1018 , 1093 , 0.148731 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
SVRP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 690.5 , 5.30719 , 0.048 , 507.393 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 45511 , 4219 , 10.5844 , 1038 , 0.253508 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 696.68 , 4.45974 , 0.064 , 10.273 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 2721 , 979 , 0.942676 , 18 , 0.006982 , 0 , 58 , 0.14095 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION-LAG , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 715.84 , 1.83214 , 7.098 , 11.984 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 1149 , 505 , 1.28246 , 4 , 0.003155 , 0 , 0 , 0 , 943 , 2.17988 , 146 , 0.058087 , 1 , 0
SVRP-INTSEP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.84 , 628 , 4.96943 , 0.031 , 600.014 , 4 , 646 , 14.84 , 14.76 , 14.84 , 660.84 , 656.7 , 0.626475 , 124551 , 2530 , 14.8139 , 2419 , 0.254705 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
SVRP-INTSEP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 661.8 , 628 , 5.10728 , 0.033 , 600.018 , 4 , 648 , 13.8 , 13.8 , 13.8 , 661.8 , 654.138 , 1.15776 , 108579 , 2580 , 14.1126 , 2569 , 0.278079 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
