Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
SVRP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.076 , 1.534 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 67 , 142 , 0.102135 , 42 , 0.064411 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRAFUNCTION-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.072 , 1.517 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 66 , 142 , 0.101083 , 42 , 0.066173 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.073 , 1.525 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 66 , 142 , 0.101582 , 42 , 0.102695 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.071 , 1.561 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 77 , 138 , 0.095369 , 37 , 0.063883 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRAFUNCTION , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.105 , 1.574 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 77 , 138 , 0.106503 , 37 , 0.060581 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.072 , 1.578 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 72 , 138 , 0.094449 , 39 , 0.109583 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.061 , 27.708 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 4646 , 706 , 1.14089 , 1483 , 1.88273 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRAFUNCTION-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.06 , 50.329 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 7253 , 887 , 1.54175 , 1793 , 2.54924 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.061 , 52.096 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 6488 , 982 , 1.56329 , 1935 , 3.84623 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.06 , 33.527 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 5315 , 839 , 1.28229 , 1153 , 1.69799 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRAFUNCTION , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.059 , 33.493 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 4635 , 769 , 1.23744 , 1232 , 1.68244 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.061 , 30.262 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 4478 , 761 , 1.2809 , 1187 , 2.60848 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.031 , 35.929 , 2 , 707 , 1.76 , 1.52 , 1.52 , 708.76 , 708.76 , 0 , 3327 , 933 , 1.51873 , 379 , 0.92433 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRAFUNCTION-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.031 , 21.983 , 2 , 707 , 1.76 , 1.52 , 1.52 , 708.76 , 708.76 , 0 , 3461 , 836 , 1.39486 , 320 , 0.861783 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION-PRDISAGGREGATION , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.031 , 25.519 , 2 , 707 , 1.76 , 1.52 , 1.52 , 708.76 , 708.76 , 0 , 3160 , 768 , 1.48897 , 376 , 2.23428 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.031 , 32.814 , 2 , 707 , 1.76 , 1.52 , 1.52 , 708.76 , 708.76 , 0 , 3653 , 820 , 1.43148 , 412 , 1.01768 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
